ip,app,device,os,channel,click_time,attributed_time,is_attributed
87540,12,1,13,497,11/7/2017 9:30,,0
105560,25,1,17,259,11/7/2017 13:40,,0
101424,12,1,19,212,11/7/2017 18:05,,0
94584,13,1,13,477,11/7/2017 4:58,,0
68413,12,1,1,178,11/9/2017 9:00,,0
93663,3,1,17,115,11/9/2017 1:22,,0
17059,1,1,17,135,11/9/2017 1:17,,0
121505,9,1,25,442,11/7/2017 10:01,,0
192967,2,2,22,364,11/8/2017 9:35,,0
143636,3,1,19,135,11/8/2017 12:35,,0
73839,3,1,22,489,11/8/2017 8:14,,0
34812,3,1,13,489,11/7/2017 5:03,,0
114809,3,1,22,205,11/9/2017 10:24,,0
114220,6,1,20,125,11/8/2017 14:46,,0
36150,2,1,13,205,11/7/2017 0:54,,0
72116,25,2,19,259,11/8/2017 23:17,,0
5314,2,1,2,477,11/9/2017 7:33,,0
106598,3,1,20,280,11/9/2017 3:44,,0
72065,20,2,90,259,11/6/2017 23:14,,0
37301,14,1,13,349,11/6/2017 20:07,,0
28735,12,1,19,265,11/9/2017 9:55,,0
66918,64,1,25,459,11/8/2017 17:01,,0
25761,9,1,10,215,11/8/2017 2:05,,0
8362,7,1,19,101,11/7/2017 10:30,,0
45257,3,1,18,280,11/7/2017 1:35,,0
145896,64,1,13,459,11/7/2017 3:58,,0
162976,3,1,13,115,11/7/2017 16:19,,0
52432,1,1,13,115,11/7/2017 17:22,,0
135690,12,1,40,122,11/7/2017 6:39,,0
139137,12,1,13,497,11/7/2017 10:11,,0
48846,3,1,19,379,11/9/2017 3:14,,0
70747,64,1,15,459,11/7/2017 14:00,,0
10831,15,1,19,386,11/9/2017 12:39,,0
89242,1,1,27,124,11/7/2017 9:37,,0
140138,12,1,13,265,11/7/2017 7:01,,0
28411,14,1,13,442,11/6/2017 23:45,,0
127888,13,1,23,477,11/6/2017 16:24,,0
75943,2,1,53,477,11/7/2017 13:28,,0
87879,3,1,13,115,11/7/2017 3:20,,0
250933,3,1,13,280,11/8/2017 11:09,,0
133933,12,1,13,140,11/7/2017 11:11,,0
35096,18,1,19,107,11/9/2017 15:26,,0
49431,15,1,49,245,11/7/2017 23:11,,0
53365,15,1,19,111,11/9/2017 4:23,,0
92599,25,2,13,259,11/9/2017 10:04,,0
107148,15,1,13,140,11/7/2017 0:49,,0
116677,9,1,13,134,11/8/2017 0:56,,0
11051,15,1,19,245,11/8/2017 2:14,,0
48240,2,1,19,122,11/8/2017 14:40,,0
92488,14,1,18,401,11/8/2017 17:33,,0
74999,11,1,13,137,11/9/2017 15:17,,0
123221,15,1,20,245,11/7/2017 15:31,,0
4019,12,1,19,265,11/9/2017 1:10,,0
40168,8,1,13,145,11/7/2017 2:22,,0
328403,15,1,13,278,11/9/2017 3:20,,0
134466,64,1,13,459,11/8/2017 10:42,,0
122354,9,1,19,134,11/7/2017 23:16,,0
104645,14,1,19,379,11/9/2017 12:57,,0
184757,3,1,13,409,11/8/2017 9:31,,0
3488,3,1,22,115,11/7/2017 0:12,,0
63994,3,1,13,115,11/7/2017 3:21,,0
52076,23,1,10,153,11/8/2017 16:41,,0
88604,6,1,17,459,11/6/2017 16:28,,0
9073,3,1,37,466,11/8/2017 4:55,,0
105861,3,1,10,442,11/6/2017 20:25,,0
25114,18,1,13,107,11/8/2017 2:07,,0
25876,21,1,26,128,11/8/2017 9:57,,0
61941,64,1,41,459,11/7/2017 23:07,,0
79827,11,1,19,481,11/8/2017 18:21,,0
99641,15,1,22,386,11/8/2017 3:46,,0
171729,9,1,13,334,11/7/2017 10:31,,0
257816,3,1,19,424,11/9/2017 12:29,,0
100494,64,1,8,459,11/7/2017 13:32,,0
5348,8,1,11,145,11/8/2017 13:17,,0
137208,2,1,13,212,11/7/2017 10:24,,0
81356,56,1,9,406,11/9/2017 11:57,,0
58128,15,1,13,245,11/7/2017 12:29,,0
71483,3,1,9,115,11/8/2017 0:59,,0
7521,12,1,15,409,11/9/2017 12:14,,0
100066,18,1,14,134,11/7/2017 9:12,,0
259930,15,1,28,245,11/8/2017 11:30,,0
30240,3,1,17,137,11/8/2017 16:04,,0
63109,23,1,25,153,11/9/2017 1:43,,0
5314,28,1,19,135,11/7/2017 14:11,,0
36311,3,1,19,115,11/9/2017 0:57,,0
44494,9,1,17,489,11/9/2017 11:26,,0
111021,36,1,15,373,11/8/2017 5:49,,0
210555,9,1,8,134,11/6/2017 16:13,,0
6414,2,1,47,377,11/9/2017 14:22,,0
123729,18,1,10,107,11/8/2017 23:07,,0
73040,14,1,19,401,11/7/2017 16:49,,0
334558,2,1,13,435,11/9/2017 5:45,,0
123994,1,1,19,101,11/9/2017 14:27,,0
94536,3,1,25,424,11/7/2017 4:50,,0
127351,25,1,13,259,11/7/2017 16:27,,0
2600,12,1,18,265,11/7/2017 19:16,,0
99926,12,1,13,245,11/6/2017 18:06,,0
114878,2,2,9,477,11/7/2017 2:35,,0
173847,3,1,13,452,11/8/2017 14:57,,0
145747,12,1,13,178,11/7/2017 13:54,,0
